K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271012  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
2024년,"4,024,967",21.7,"5,092,904,191",23.2,"5,166,894",-0.4,"7,454,187,332",-0.3
…1월,"1,554,134",44.2,"2,016,491,650",48.7,"1,883,921",13.5,"2,762,000,726",11.4
…2월,"2,707,671",19.5,"3,456,937,302",22.3,"3,352,906",-4.9,"4,888,750,366",-5.8
…3월,"4,024,967",21.7,"5,092,904,191",23.2,"5,166,894",-0.4,"7,454,187,332",-0.3
2023년,"13,670,064",-10.3,"17,424,570,686",4.7,"18,463,169",-15.7,"27,764,741,422",2.2
…1월,"1,077,399",5.4,"1,356,107,354",8.6,"1,660,397",-7.5,"2,478,440,793",2.5
…2월,"2,266,062",-2.8,"2,825,855,375",5.7,"3,525,951",-4.4,"5,189,430,179",8.5
…3월,"3,307,320",-15.0,"4,134,073,271",0.0,"5,189,784",-9.8,"7,476,332,869",5.2
…4월,"4,241,113",-17.2,"5,337,413,476",0.7,"6,450,189",-18.1,"9,270,180,780",0.7
…5월,"5,385,709",-20.3,"6,910,752,931",2.4,"7,807,008",-19.7,"11,274,172,223",0.8
…6월,"6,258,701",-22.7,"8,141,115,792",2.9,"9,245,834",-19.2,"13,642,189,063",4.4
…7월,"7,258,856",-25.0,"9,461,442,072",-0.6,"10,265,448",-24.7,"15,468,603,507",-1.5
…8월,"8,372,046",-24.0,"10,825,610,864",-2.3,"11,665,446",-24.9,"17,770,938,004",-1.6
…9월,"9,716,121",-20.0,"12,387,138,477",-1.1,"13,303,492",-21.8,"20,208,427,634",0.4
…10월,"11,189,810",-14.7,"14,178,308,734",2.9,"15,101,550",-18.5,"22,744,976,633",1.6
…11월,"12,414,895",-12.3,"15,767,129,922",4.1,"16,898,579",-16.4,"25,405,728,988",2.5
…12월,"13,670,064",-10.3,"17,424,570,686",4.7,"18,463,169",-15.7,"27,764,741,422",2.2
2022년,"15,238,659",40.7,"16,634,471,211",5.3,"21,898,544",14.7,"27,169,427,467",-8.2
…1월,"1,022,684",106.0,"1,249,073,039",27.1,"1,794,399",77.6,"2,419,112,213",11.6
…2월,"2,330,238",107.0,"2,673,841,558",27.7,"3,689,316",69.3,"4,783,522,127",8.5
…3월,"3,889,254",109.5,"4,132,098,593",26.1,"5,753,768",67.5,"7,105,853,902",8.0
…4월,"5,124,693",93.4,"5,301,628,929",16.6,"7,879,261",61.9,"9,204,193,850",2.9
…5월,"6,758,990",91.3,"6,748,525,037",13.9,"9,717,308",56.9,"11,179,181,729",-0.3
…6월,"8,101,564",85.9,"7,915,021,657",10.6,"11,441,589",50.6,"13,071,975,824",-3.1
…7월,"9,680,101",80.8,"9,518,988,280",11.3,"13,632,749",44.3,"15,696,801,905",-3.6
…8월,"11,015,437",75.8,"11,080,753,795",12.3,"15,529,489",37.5,"18,067,159,177",-4.7
…9월,"12,142,481",66.5,"12,519,670,017",10.6,"17,013,869",29.0,"20,124,585,647",-7.5
…10월,"13,113,402",54.0,"13,782,412,022",7.2,"18,540,194",23.2,"22,382,558,122",-8.3
…11월,"14,157,493",46.3,"15,152,473,715",6.1,"20,221,255",19.5,"24,789,145,006",-7.5
…12월,"15,238,659",40.7,"16,634,471,211",5.3,"21,898,544",14.7,"27,169,427,467",-8.2
2021년,"10,829,575",102.9,"15,799,625,576",19.1,"19,098,076",88.2,"29,608,627,478",19.5
…1월,"496,538",-37.0,"982,766,174",-25.7,"1,010,467",-42.1,"2,167,851,083",-26.3
…2월,"1,125,670",-20.8,"2,093,612,015",-16.5,"2,179,519",-28.7,"4,407,616,275",-15.6
…3월,"1,856,185",-4.6,"3,277,522,323",-19.0,"3,434,697",-18.7,"6,582,165,294",-12.5
…4월,"2,649,755",22.5,"4,546,174,911",-11.0,"4,867,306",1.1,"8,946,652,500",-2.8
…5월,"3,532,325",49.1,"5,927,370,185",1.1,"6,195,158",15.6,"11,207,737,644",-5.3
…6월,"4,357,360",61.7,"7,155,661,674",5.1,"7,595,829",25.6,"13,486,230,992",-6.0
…7월,"5,353,720",70.9,"8,552,832,021",8.0,"9,444,958",37.8,"16,285,995,822",-1.7
…8월,"6,265,115",76.0,"9,864,015,438",10.1,"11,290,554",49.1,"18,951,223,896",3.3
…9월,"7,292,545",84.7,"11,317,960,785",14.1,"13,191,385",57.5,"21,764,443,043",7.0
…10월,"8,517,674",95.6,"12,851,520,817",17.6,"15,046,860",70.1,"24,411,940,049",13.5
…11월,"9,677,420",103.4,"14,282,719,828",19.6,"16,919,500",80.2,"26,812,478,140",17.2
…12월,"10,829,575",102.9,"15,799,625,576",19.1,"19,098,076",88.2,"29,608,627,478",19.5
2020년,"5,337,634",-43.8,"13,265,304,649",-18.1,"10,146,411",-26.5,"24,781,336,182",-4.9
…1월,"788,763",2.5,"1,322,639,539",-10.8,"1,744,523",67.0,"2,943,074,073",40.6
…2월,"1,420,519",-4.3,"2,508,578,430",-9.1,"3,055,105",61.6,"5,224,550,811",37.0
…3월,"1,944,867",-12.8,"4,044,301,627",1.5,"4,223,594",50.6,"7,524,489,185",35.7
…4월,"2,162,939",-32.0,"5,105,986,363",-6.7,"4,813,446",22.1,"9,202,279,694",21.5
…5월,"2,369,677",-40.0,"5,863,778,185",-13.1,"5,361,445",1.8,"11,828,902,653",20.5
…6월,"2,694,898",-42.6,"6,806,025,368",-15.8,"6,047,167",-6.6,"14,346,228,679",20.0
…7월,"3,132,096",-43.3,"7,922,077,453",-16.8,"6,855,736",-10.6,"16,560,581,236",15.6
…8월,"3,559,226",-44.3,"8,960,730,839",-18.8,"7,571,749",-16.4,"18,348,302,871",7.9
…9월,"3,949,333",-44.7,"9,919,173,115",-19.6,"8,373,034",-17.5,"20,338,840,827",5.5
…10월,"4,355,304",-44.4,"10,932,618,106",-19.0,"8,848,448",-21.1,"21,507,591,084",0.6
…11월,"4,758,495",-44.7,"11,943,245,293",-19.1,"9,391,173",-24.1,"22,870,556,582",-2.9
…12월,"5,337,634",-43.8,"13,265,304,649",-18.1,"10,146,411",-26.5,"24,781,336,182",-4.9
2019년,"9,491,058",-10.8,"16,197,580,266",1.7,"13,798,713",-13.4,"26,068,228,730",4.3
…1월,"769,804",-15.5,"1,482,207,812",7.2,"1,044,710",-9.4,"2,093,797,506",10.1
…2월,"1,484,891",-10.4,"2,759,415,219",8.0,"1,890,290",-22.3,"3,814,018,563",-4.5
…3월,"2,230,071",-5.9,"3,985,621,063",8.5,"2,803,889",-22.5,"5,543,517,771",-8.4
…4월,"3,180,451",-7.2,"5,472,609,445",4.3,"3,941,763",-16.0,"7,574,214,579",-3.9
…5월,"3,951,411",-7.0,"6,745,946,536",5.5,"5,266,462",-12.7,"9,816,057,293",-2.0
…6월,"4,692,514",-9.3,"8,083,175,101",4.8,"6,472,448",-12.7,"11,953,672,667",-0.8
