K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
2024년,"9,601,780",-0.9,"11,764,276,099",3.4,"1,261,806",52.5,"2,074,745,250",53.3
…1월,"3,153,336",3.6,"3,889,991,877",13.7,"538,426",91.2,"902,695,139",80.9
…2월,"6,347,306",0,"7,740,382,460",6.1,"885,923",61.8,"1,500,319,356",62.8
…3월,"9,601,780",-0.9,"11,764,276,099",3.4,"1,261,806",52.5,"2,074,745,250",53.3
2023년,"37,217,275",-19.6,"44,264,436,326",-2.8,"4,456,358",0.8,"6,992,275,171",19.4
…1월,"3,043,687",18.2,"3,421,962,375",0.6,"281,537",-22.9,"499,038,427",-17.4
…2월,"6,346,856",19.1,"7,294,628,964",8.8,"547,427",-36.5,"921,766,868",-33
…3월,"9,692,702",5.8,"11,382,279,442",8.6,"827,376",-30.6,"1,353,442,426",-26.4
…4월,"12,312,676",-5,"14,650,912,564",4.9,"1,070,593",-31.3,"1,724,414,726",-23.9
…5월,"15,322,081",-13.5,"18,765,534,247",3.6,"1,403,833",-29.6,"2,286,483,684",-16.9
…6월,"17,696,370",-19,"21,958,877,725",2.9,"1,801,398",-29.3,"2,946,030,876",-13.5
…7월,"20,477,063",-23,"25,421,412,897",-0.4,"2,262,764",-21.5,"3,710,023,458",-1
…8월,"23,748,673",-25.3,"28,996,700,114",-5.1,"2,772,989",-14.3,"4,450,958,326",5.8
…9월,"27,223,819",-24,"32,609,003,183",-5.6,"3,331,397",-6.9,"5,272,808,037",13
…10월,"30,853,753",-21.3,"36,530,363,218",-3.6,"3,768,464",-2.6,"5,916,515,663",16.6
…11월,"34,051,519",-20.5,"40,343,329,148",-3,"4,185,415",0.2,"6,573,057,799",19.3
…12월,"37,217,275",-19.6,"44,264,436,326",-2.8,"4,456,358",0.8,"6,992,275,171",19.4
2022년,"46,318,725",76.9,"45,551,719,638",11.4,"4,420,640",-0.4,"5,856,440,470",-30.2
…1월,"2,574,423",102.3,"3,403,138,196",38.4,"365,211",42.5,"603,856,010",1.7
…2월,"5,328,579",81.6,"6,705,346,858",21.9,"862,759",84.8,"1,376,320,204",31.5
…3월,"9,157,900",88.2,"10,485,384,432",18.9,"1,192,738",49.7,"1,838,388,985",7.1
…4월,"12,959,937",86.4,"13,967,711,584",13.1,"1,559,310",28.9,"2,266,585,916",-12.7
…5월,"17,715,006",95.2,"18,113,598,700",13.9,"1,993,970",28.1,"2,750,694,131",-15.8
…6월,"21,855,513",95.5,"21,335,396,201",11.3,"2,549,673",32.7,"3,405,304,000",-14.2
…7월,"26,588,305",94.5,"25,513,309,495",11.1,"2,880,825",18.4,"3,748,729,812",-24
…8월,"31,775,966",102.1,"30,539,615,378",16.9,"3,236,334",16.8,"4,207,113,729",-24.5
…9월,"35,808,506",97,"34,550,589,074",16.1,"3,578,547",12.2,"4,665,662,075",-26
…10월,"39,180,531",87,"37,913,494,259",12.9,"3,870,442",6.3,"5,075,815,896",-28
…11월,"42,836,781",81.8,"41,603,218,972",12,"4,176,813",4.1,"5,508,873,020",-28.1
…12월,"46,318,725",76.9,"45,551,719,638",11.4,"4,420,640",-0.4,"5,856,440,470",-30.2
2021년,"26,185,676",46.5,"40,907,869,537",-9.7,"4,440,297",71.3,"8,390,834,660",23.9
…1월,"1,272,540",-48.1,"2,458,139,711",-41.8,"256,307",-43.1,"593,712,422",-34.3
…2월,"2,933,469",-34.2,"5,500,365,594",-32,"466,754",-47.2,"1,046,769,697",-43.2
…3월,"4,865,321",-20.7,"8,821,561,464",-29.9,"796,663",-23.7,"1,716,589,182",-23
