K-stat 무역통계 - 한국무역협회,,,,,,,,,
"국가 : 일본  ,  수입구분 : 전체  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,,
년,수출,수출,수출,수출,수입,수입,수입,수입,수지
년,금액,증감률,중량,증감률,금액,증감률,중량,증감률,수지
2024년,"7,040,037",-0.2,"3,916,061,848",18.6,"11,858,095",-6.3,"3,882,705,631",-18.3,"-4,818,058"
2023년,"29,000,616",-5.2,"14,800,726,696",5.1,"47,656,468",-12.9,"17,549,522,345",-7.2,"-18,655,852"
2022년,"30,606,278",1.8,"14,076,474,739",-11.8,"54,711,795",0.1,"18,911,705,434",1.2,"-24,105,517"
2021년,"30,061,806",19.8,"15,958,658,479",7.6,"54,642,165",18.7,"18,691,274,118",4.6,"-24,580,359"
2020년,"25,097,651",-11.7,"14,836,237,096",-9.8,"46,023,036",-3.3,"17,872,590,175",-16.1,"-20,925,385"
2019년,"28,420,213",-6.9,"16,454,472,500",-7.2,"47,580,853",-12.9,"21,295,575,541",-4.7,"-19,160,640"
2018년,"30,528,580",13.8,"17,726,571,347",12.5,"54,603,749",-0.9,"22,356,040,899",-6.2,"-24,075,169"
2017년,"26,816,141",10.1,"15,761,728,522",6.5,"55,124,725",16.1,"23,842,696,833",-3.3,"-28,308,584"
2016년,"24,355,036",-4.8,"14,803,308,957",-7,"47,466,592",3.5,"24,654,897,634",3.9,"-23,111,556"
2015년,"25,576,507",-20.5,"15,926,058,114",-7.6,"45,853,834",-14.7,"23,726,676,390",-3.9,"-20,277,327"
2014년,"32,183,788",-7.2,"17,233,680,501",-8.9,"53,768,313",-10.4,"24,701,137,875",-8.9,"-21,584,525"
2013년,"34,662,290",-10.7,"18,923,847,341",-0.5,"60,029,355",-6.7,"27,113,909,444",2.5,"-25,367,065"
2012년,"38,796,057",-2.2,"19,010,258,659",-0.1,"64,363,080",-5.8,"26,442,053,101",10.8,"-25,567,023"
2011년,"39,679,706",40.8,"19,021,629,769",42.2,"68,320,170",6.3,"23,861,286,516",-9.2,"-28,640,464"
2010년,"28,176,281",29.4,"13,372,753,918",20.1,"64,296,117",30.1,"26,271,625,164",8.4,"-36,119,836"
2009년,"21,770,839",-22.9,"11,134,255,140",-15.9,"49,427,515",-18.9,"24,245,859,570",0.3,"-27,656,676"
2008년,"28,252,471",7.1,"13,236,958,069",-3.4,"60,956,391",8.4,"24,179,842,901",-6.2,"-32,703,920"
2007년,"26,370,191",-0.6,"13,703,552,617",-10.4,"56,250,126",8.3,"25,765,833,440",5.9,"-29,879,935"
2006년,"26,534,015",10.4,"15,296,484,476",-5.2,"51,926,292",7.3,"24,336,852,621",13.8,"-25,392,277"
2005년,"24,027,438",10.7,"16,132,620,492",-2.5,"48,403,183",4.9,"21,393,019,835",-2.6,"-24,375,745"
2004년,"21,701,337",25.6,"16,541,919,366",-0.9,"46,144,463",27.1,"21,963,177,765",12.7,"-24,443,126"
