K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 870323  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
2024년,"4,982,725",6.2,"449,701,091",0.9,"674,302",-42.1,"30,765,074",-38.3
…1월,"1,742,486",15.6,"157,052,562",12.7,"176,257",-59.0,"7,522,145",-58.4
…2월,"3,210,495",5.7,"290,874,252",2.1,"415,643",-44.6,"18,565,245",-41.0
…3월,"4,982,725",6.2,"449,701,091",0.9,"674,302",-42.1,"30,765,074",-38.3
2023년,"19,280,805",10.2,"1,849,376,425",17.7,"3,831,364",-12.5,"171,148,529",-21.0
…1월,"1,506,946",12.7,"139,413,136",11.8,"429,493",60.0,"18,066,095",35.6
…2월,"3,036,687",21.5,"284,858,680",22.1,"750,362",19.9,"31,458,508",2.4
…3월,"4,691,239",26.6,"445,551,049",27.8,"1,164,047",18.6,"49,879,068",5.0
…4월,"6,350,970",25.5,"602,323,453",27.1,"1,576,825",20.2,"68,245,563",8.9
…5월,"7,961,276",23.7,"757,705,605",25.6,"1,907,615",10.9,"82,756,783",0.1
…6월,"9,540,804",24.8,"912,949,308",28.4,"2,316,627",13.4,"101,825,911",1.9
…7월,"11,117,765",17.3,"1,066,750,680",22.8,"2,536,595",9.9,"111,970,321",-1.4
…8월,"12,569,774",15.1,"1,210,448,591",22.0,"2,754,961",1.2,"120,848,893",-9.4
…9월,"13,990,757",11.6,"1,349,403,283",19.5,"2,970,862",-2.4,"130,655,536",-12.4
…10월,"15,695,040",11.4,"1,514,075,461",19.5,"3,230,332",-6.3,"142,914,875",-16.0
…11월,"17,532,843",11.0,"1,686,378,395",18.9,"3,542,814",-10.4,"157,954,705",-19.4
…12월,"19,280,805",10.2,"1,849,376,425",17.7,"3,831,364",-12.5,"171,148,529",-21.0
2022년,"17,491,799",6.6,"1,570,665,011",-1.0,"4,378,985",-2.2,"216,682,129",-4.4
…1월,"1,337,122",-2.2,"124,740,053",-8.6,"268,447",-27.4,"13,320,713",-27.1
…2월,"2,500,209",-7.8,"233,236,125",-14.0,"625,766",-3.3,"30,717,888",-1.8
…3월,"3,706,743",-15.1,"348,755,333",-19.5,"981,125",-18.2,"47,516,218",-20.5
…4월,"5,062,002",-14.9,"474,077,666",-19.5,"1,311,943",-18.3,"62,673,791",-21.2
…5월,"6,437,505",-10.3,"603,105,908",-15.4,"1,720,423",-13.0,"82,706,991",-14.9
…6월,"7,643,822",-10.9,"711,171,964",-16.2,"2,042,324",-17.4,"99,885,086",-17.1
…7월,"9,479,966",-5.2,"868,542,691",-11.9,"2,308,532",-18.7,"113,534,422",-18.5
…8월,"10,918,954",-0.5,"992,542,926",-8.6,"2,723,026",-13.8,"133,437,581",-14.5
…9월,"12,531,965",3.2,"1,129,164,221",-5.6,"3,043,586",-12.2,"149,217,426",-13.2
…10월,"14,087,009",4.0,"1,266,936,645",-4.3,"3,448,574",-9.2,"170,064,655",-10.1
…11월,"15,799,188",5.9,"1,418,452,506",-2.2,"3,954,664",-4.9,"196,078,890",-6.6
…12월,"17,491,799",6.6,"1,570,665,011",-1.0,"4,378,985",-2.2,"216,682,129",-4.4
2021년,"16,415,830",7.0,"1,587,153,865",2.4,"4,479,197",-6.0,"226,608,542",-7.9
…1월,"1,367,597",5.1,"136,506,182",4.3,"369,800",25.0,"18,271,973",17.7
…2월,"2,710,375",15.0,"271,047,676",11.8,"646,960",-8.6,"31,290,853",-15.4
…3월,"4,364,379",6.8,"433,252,785",4.8,"1,199,394",3.5,"59,747,916",0.2
…4월,"5,950,173",22.2,"588,928,626",19.7,"1,606,761",-7.1,"79,574,350",-7.8
…5월,"7,180,157",34.0,"712,968,184",31.1,"1,978,302",-7.5,"97,178,565",-8.3
…6월,"8,576,960",36.0,"849,130,067",32.7,"2,471,364",3.5,"120,539,268",0.7
…7월,"10,000,563",27.9,"985,946,546",24.3,"2,839,279",7.8,"139,342,487",5.5
…8월,"10,976,471",23.5,"1,085,625,577",19.9,"3,157,162",8.4,"156,016,613",5.7
…9월,"12,143,518",15.7,"1,196,515,116",11.8,"3,464,667",1.8,"171,864,983",-1.7
…10월,"13,547,650",11.1,"1,323,879,507",6.8,"3,795,913",1.0,"189,114,019",-3.0
…11월,"14,925,109",7.1,"1,450,793,380",3.2,"4,157,040",0.2,"209,914,422",-2.7
…12월,"16,415,830",7.0,"1,587,153,865",2.4,"4,479,197",-6.0,"226,608,542",-7.9
2020년,"15,348,327",-22.1,"1,549,858,521",-26.0,"4,764,879",-6.8,"246,019,465",-7.6
…1월,"1,301,078",-23.3,"130,870,555",-27.6,"295,874",-18.1,"15,524,333",-7.4
…2월,"2,356,863",-22.9,"242,378,618",-26.3,"708,021",12.4,"36,997,044",20.0
…3월,"4,084,622",-14.7,"413,309,831",-19.0,"1,158,839",13.7,"59,622,955",17.8
…4월,"4,870,669",-26.0,"492,111,245",-29.8,"1,729,036",20.6,"86,303,973",16.8
…5월,"5,356,334",-36.1,"543,825,837",-38.9,"2,138,531",20.4,"106,025,196",14.7
…6월,"6,308,231",-37.7,"639,790,649",-40.4,"2,388,771",13.4,"119,721,363",8.8
…7월,"7,819,539",-34.0,"793,114,607",-36.8,"2,634,794",0.3,"132,075,432",-2.2
…8월,"8,886,336",-32.7,"905,650,878",-35.4,"2,912,782",-7.7,"147,574,425",-8.5
…9월,"10,492,634",-28.1,"1,070,048,339",-31.0,"3,402,817",-6.8,"174,859,779",-7.1
…10월,"12,194,364",-25.4,"1,239,120,797",-28.8,"3,756,712",-11.3,"194,911,956",-10.9
…11월,"13,931,946",-22.6,"1,405,397,796",-26.8,"4,150,024",-8.2,"215,779,710",-8.1
…12월,"15,348,327",-22.1,"1,549,858,521",-26.0,"4,764,879",-6.8,"246,019,465",-7.6
2019년,"19,698,030",0.4,"2,095,743,626",0.8,"5,112,033",15.9,"266,225,677",17.0
…1월,"1,695,352",4.7,"180,656,111",9.7,"361,265",-19.0,"16,762,731",-12.5
…2월,"3,058,124",4.9,"328,800,503",11.5,"630,070",-18.6,"30,820,292",-14.4
…3월,"4,790,331",0.9,"510,155,010",6.7,"1,018,823",-22.4,"50,600,045",-18.1
…4월,"6,583,992",-0.1,"701,497,491",5.5,"1,434,051",-11.6,"73,911,612",-3.8
…5월,"8,383,786",2.2,"890,254,337",6.1,"1,775,557",-11.7,"92,453,725",-3.0
…6월,"10,126,750",2.7,"1,074,296,487",5.7,"2,106,845",-8.1,"110,068,235",0.5
…7월,"11,838,855",4.3,"1,255,551,847",6.3,"2,628,032",2.6,"135,113,222",8.3
…8월,"13,206,489",3.3,"1,402,881,643",4.8,"3,156,852",8.0,"161,273,798",11.0
…9월,"14,585,633",2.9,"1,551,772,076",4.0,"3,652,900",12.9,"188,128,710",14.3
…10월,"16,338,934",2.2,"1,740,879,714",3.2,"4,237,633",14.6,"218,782,704",14.6
…11월,"18,005,496",0.8,"1,919,547,298",1.7,"4,521,393",10.7,"234,867,711",11.0
…12월,"19,698,030",0.4,"2,095,743,626",0.8,"5,112,033",15.9,"266,225,677",17.0
2018년,"19,610,961",2.5,"2,080,128,882",3.4,"4,410,131",25.1,"227,560,780",23.0
…1월,"1,618,653",15.9,"164,700,935",12.9,"445,848",125.8,"19,158,980",68.5
…2월,"2,914,361",-1.4,"294,843,604",-3.5,"773,799",110.8,"35,994,330",68.3
…3월,"4,745,753",-0.7,"477,990,330",-3.4,"1,313,421",102.5,"61,753,993",64.0
…4월,"6,591,888",1.3,"664,902,398",-1.2,"1,622,761",90.1,"76,859,048",55.8
…5월,"8,204,821",0.6,"838,784,098",-0.6,"2,011,290",81.8,"95,287,327",50.2
…6월,"9,856,866",-1.1,"1,016,546,597",-1.7,"2,293,505",51.2,"109,499,176",29.5
…7월,"11,351,901",-3.0,"1,181,368,223",-2.8,"2,561,890",44.6,"124,804,438",26.7
…8월,"12,781,019",-0.9,"1,339,114,875",-0.4,"2,923,041",41.4,"145,307,052",26.7
…9월,"14,178,681",-2.9,"1,492,295,438",-2.0,"3,234,733",36.3,"164,572,488",25.3
…10월,"15,994,999",0.5,"1,686,412,966",1.4,"3,698,918",38.4,"190,847,670",29.2
…11월,"17,860,878",0.5,"1,887,517,058",1.3,"4,085,034",30.0,"211,629,297",25.4
…12월,"19,610,961",2.5,"2,080,128,882",3.4,"4,410,131",25.1,"227,560,780",23.0
2017년,"19,133,380",-13.1,"2,011,945,441",-11.2,"3,524,901",16.9,"185,025,907",0.5
…1월,"1,396,242",-13.4,"145,836,010",-13.8,"197,437",14.1,"11,370,775",-10.8
…2월,"2,956,757",-8.1,"305,532,111",-9.5,"367,001",16.8,"21,389,819",-6.1
…3월,"4,777,985",-12.6,"494,956,249",-13.3,"648,510",27.6,"37,658,244",0.9
…4월,"6,505,123",-11.7,"673,008,081",-12.6,"853,855",16.2,"49,342,725",-4.5
…5월,"8,154,560",-11.4,"843,817,031",-12.2,"1,106,262",15.0,"63,451,525",-4.9
…6월,"9,964,699",-11.6,"1,033,697,275",-11.7,"1,517,164",22.3,"84,553,360",1.9
…7월,"11,702,755",-10.3,"1,215,030,509",-10.2,"1,771,618",22.9,"98,541,389",3.9
…8월,"12,901,433",-9.4,"1,343,962,391",-8.9,"2,066,516",18.8,"114,643,563",3.5
…9월,"14,597,363",-5.5,"1,522,603,020",-4.7,"2,373,931",12.9,"131,355,849",1.4
…10월,"15,909,085",-7.4,"1,663,187,677",-6.4,"2,672,680",10.9,"147,752,513",-0.5
…11월,"17,772,479",-8.1,"1,863,306,029",-6.7,"3,142,627",13.2,"168,744,457",-1.2
…12월,"19,133,380",-13.1,"2,011,945,441",-11.2,"3,524,901",16.9,"185,025,907",0.5
2016년,"22,007,750",-8.5,"2,266,504,332",-9.2,"3,014,764",47.2,"184,170,980",34.7
