K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 854231  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
2024년,"8,134,565",22,"1,580,597",4,"7,094,536",9,"753,410",3.3
…1월,"2,712,657",27.1,"535,636",9.5,"2,504,441",13.2,"277,003",24.3
…2월,"5,254,556",29.4,"1,034,127",7,"4,780,158",13.1,"499,149",9.5
…3월,"8,134,565",22,"1,580,597",4,"7,094,536",9,"753,410",3.3
2023년,"31,414,482",-18.2,"6,513,279",-14.7,"27,901,514",-5.2,"3,268,668",-9.2
…1월,"2,134,403",-26.2,"489,149",-22.7,"2,211,734",11,"222,809",-29.6
…2월,"4,061,951",-26.9,"966,319",-22.8,"4,227,748",5.7,"455,841",-23.6
…3월,"6,668,810",-25.3,"1,519,419",-22.3,"6,511,332",3.6,"729,588",-19.7
…4월,"8,908,197",-24.2,"2,016,960",-22.8,"8,448,256",-0.4,"981,556",-18.1
…5월,"11,689,221",-19.6,"2,569,092",-21.9,"10,501,250",-2,"1,259,436",-15.7
…6월,"14,335,466",-19.3,"3,122,238",-20.4,"12,906,760",-1.9,"1,554,704",-14.5
…7월,"16,962,617",-21,"3,665,443",-19.1,"15,449,731",-3.6,"1,857,030",-13.7
…8월,"20,052,344",-20.5,"4,268,869",-17.7,"18,069,311",-4.1,"2,150,817",-13.9
…9월,"22,980,159",-20,"4,836,241",-17.4,"20,555,242",-6.7,"2,424,085",-13.8
…10월,"26,049,972",-18.9,"5,429,134",-16.1,"23,118,688",-6.1,"2,730,195",-11.8
…11월,"28,930,989",-18.2,"5,994,636",-15.1,"25,628,157",-4.6,"3,006,613",-10.3
…12월,"31,414,482",-18.2,"6,513,279",-14.7,"27,901,514",-5.2,"3,268,668",-9.2
2022년,"38,402,894",26.3,"7,638,168",-3.7,"29,434,179",29.7,"3,599,891",1.4
…1월,"2,891,586",26.6,"632,819",-4,"1,992,943",17.1,"316,612",21.4
…2월,"5,554,348",26.8,"1,251,181",-0.9,"4,000,224",24.8,"596,598",21.2
…3월,"8,931,714",35.3,"1,956,116",1.6,"6,285,965",27.1,"908,579",18.4
…4월,"11,751,683",34.1,"2,613,164",1.9,"8,485,441",25.8,"1,198,306",15.4
…5월,"14,539,231",31.3,"3,289,691",2.1,"10,713,178",26.4,"1,493,723",13.4
…6월,"17,769,944",32.4,"3,924,455",1.3,"13,154,984",27.5,"1,818,131",13.1
…7월,"21,470,734",34.4,"4,528,326",-0.6,"16,019,170",29.8,"2,150,909",12
…8월,"25,208,418",34.4,"5,183,975",-1.2,"18,838,127",30.9,"2,499,248",11.7
…9월,"28,712,121",32.4,"5,857,246",-1.1,"22,030,341",34.2,"2,811,135",10
…10월,"32,122,207",30.8,"6,469,715",-1.7,"24,632,999",33.7,"3,094,805",7.8
…11월,"35,366,815",28.8,"7,063,684",-2.7,"26,863,307",31.1,"3,352,810",5.2
…12월,"38,402,894",26.3,"7,638,168",-3.7,"29,434,179",29.7,"3,599,891",1.4
2021년,"30,405,224",29.3,"7,935,121",10.2,"22,700,472",21.9,"3,548,572",22.5
…1월,"2,284,422",17,"658,875",16,"1,701,963",17.1,"260,717",18.6
…2월,"4,382,017",16.6,"1,262,131",14.8,"3,206,240",11.3,"492,268",13.1
…3월,"6,599,367",12.1,"1,925,727",10.8,"4,943,749",8.2,"767,515",12.9
…4월,"8,765,020",19.7,"2,564,218",14.2,"6,743,514",15.8,"1,038,140",14.7
…5월,"11,077,138",24.6,"3,221,790",16.5,"8,476,539",19.7,"1,317,449",16.7
…6월,"13,420,700",27.1,"3,875,294",17,"10,313,610",22.8,"1,606,853",17.5
…7월,"15,976,333",27.9,"4,553,439",15.7,"12,340,784",20.7,"1,920,486",18.7
…8월,"18,752,353",28.1,"5,249,358",14.2,"14,387,247",21.5,"2,238,295",20.6
…9월,"21,690,350",29.1,"5,922,899",12.3,"16,415,870",21.9,"2,555,886",21
…10월,"24,560,652",29.9,"6,581,173",11.1,"18,427,608",20.9,"2,870,525",20.7
…11월,"27,454,564",29.5,"7,256,567",10.6,"20,486,935",20.5,"3,185,864",20.9
…12월,"30,405,224",29.3,"7,935,121",10.2,"22,700,472",21.9,"3,548,572",22.5
2020년,"23,516,670",13.7,"7,201,550",8.1,"18,627,208",18.5,"2,897,066",2.7
…1월,"1,952,296",4.7,"568,154",0.8,"1,453,171",12.6,"219,869",-13.7
…2월,"3,758,578",9,"1,099,776",6.9,"2,880,505",25.8,"435,264",-3.6
…3월,"5,887,540",15.9,"1,737,400",9.8,"4,569,469",29.4,"679,859",-0.3
…4월,"7,322,699",9.5,"2,245,889",5.6,"5,824,794",23.1,"905,464",-1.9
…5월,"8,888,122",8.9,"2,765,295",2,"7,082,119",18.8,"1,129,271",-2.9
…6월,"10,555,505",8.3,"3,311,631",0.8,"8,400,071",18,"1,367,679",-1.5
…7월,"12,489,820",7.8,"3,934,531",1.4,"10,226,950",17.4,"1,618,054",-1.5
…8월,"14,640,740",8.6,"4,596,273",2.7,"11,844,968",17,"1,855,946",-2
…9월,"16,804,590",8.9,"5,276,384",4.1,"13,465,852",17,"2,112,759",-1.5
…10월,"18,912,268",8.9,"5,923,260",4.9,"15,245,523",18.5,"2,377,510",0.5
…11월,"21,196,744",11.2,"6,559,272",6.8,"17,007,671",19.8,"2,635,037",2
…12월,"23,516,670",13.7,"7,201,550",8.1,"18,627,208",18.5,"2,897,066",2.7
2019년,"20,677,631",-6.4,"6,661,874",-5,"15,718,439",-4,"2,819,894",-12.6
…1월,"1,865,224",-4.6,"563,439",-3.8,"1,291,036",-13.5,"254,788",-3.9
…2월,"3,448,635",-5,"1,029,058",-5.4,"2,288,867",-13.9,"451,552",-6.4
…3월,"5,078,728",-7.6,"1,582,542",-3.6,"3,531,378",-13.3,"681,710",-9.7
…4월,"6,685,689",-9.8,"2,126,328",-4.6,"4,731,678",-12.4,"923,210",-9.2
…5월,"8,160,900",-11.3,"2,710,843",-3.5,"5,960,893",-12.5,"1,163,409",-10.4
…6월,"9,748,078",-11,"3,285,263",-2.5,"7,117,641",-13.8,"1,389,055",-12.1
…7월,"11,581,538",-10,"3,880,771",-3,"8,709,408",-10.6,"1,643,000",-11.8
…8월,"13,476,196",-9.1,"4,473,725",-3.3,"10,121,241",-10.3,"1,893,022",-12.3
…9월,"15,436,658",-7.6,"5,069,091",-3.1,"11,513,340",-8.3,"2,143,917",-11.8
…10월,"17,370,705",-6.8,"5,645,523",-3.8,"12,863,481",-8,"2,365,051",-12.8
…11월,"19,063,170",-6.9,"6,143,969",-4.8,"14,191,491",-6.6,"2,583,863",-13.1
…12월,"20,677,631",-6.4,"6,661,874",-5,"15,718,439",-4,"2,819,894",-12.6
2018년,"22,095,020",3.4,"7,010,838",10.2,"16,366,050",-6.1,"3,226,521",1.1
…1월,"1,955,610",28.1,"585,891",24.4,"1,492,676",10.5,"265,083",8
…2월,"3,628,770",20.4,"1,088,212",16.1,"2,656,882",3.4,"482,665",-1.1
…3월,"5,498,676",15,"1,641,193",12.5,"4,072,240",-1.5,"755,180",-2.4
…4월,"7,409,075",15.4,"2,229,775",15.9,"5,399,051",0.4,"1,017,222",-0.2
…5월,"9,199,690",11.1,"2,810,425",15.7,"6,816,213",1.4,"1,298,453",1.5
…6월,"10,958,082",9.5,"3,370,633",15.5,"8,261,414",1.9,"1,579,749",1.7
…7월,"12,864,010",7.8,"3,999,025",15.5,"9,744,485",1.1,"1,862,782",1
…8월,"14,821,680",7.2,"4,625,036",14.6,"11,288,614",0.3,"2,159,310",1
…9월,"16,699,302",5,"5,232,745",12.5,"12,561,403",-2.7,"2,431,295",0.3
…10월,"18,632,566",5.4,"5,869,338",12.5,"13,983,204",-4,"2,711,346",1
…11월,"20,467,950",4.6,"6,453,383",11,"15,199,053",-5.2,"2,973,877",1
…12월,"22,095,020",3.4,"7,010,838",10.2,"16,366,050",-6.1,"3,226,521",1.1
2017년,"21,359,846",25.2,"6,359,139",18.5,"17,430,919",-1.9,"3,192,220",3.9
…1월,"1,526,163",12.5,"471,094",22.4,"1,350,565",-3.6,"245,481",-1.6
…2월,"3,014,892",19,"937,474",25.6,"2,570,552",-10.6,"487,823",0.5
…3월,"4,782,306",13.9,"1,458,222",20.6,"4,134,744",-8.4,"774,020",2.4
…4월,"6,420,715",15.7,"1,923,716",17.3,"5,376,858",-9.2,"1,019,611",1.4
…5월,"8,279,687",21.6,"2,429,801",16.6,"6,724,179",-7.4,"1,279,640",2.1
…6월,"10,005,687",20.8,"2,919,282",16.7,"8,104,881",-7.2,"1,553,655",2.6
…7월,"11,931,721",23.1,"3,461,798",16.9,"9,643,202",-5.7,"1,843,720",3.8
…8월,"13,821,633",23.1,"4,036,208",17.3,"11,257,304",-4.3,"2,137,983",4.2
…9월,"15,904,888",24.6,"4,652,377",18.1,"12,905,436",-2.6,"2,424,860",4.6
…10월,"17,677,303",24.1,"5,215,816",17.7,"14,570,498",-1.2,"2,683,316",4
…11월,"19,575,673",24.7,"5,814,179",18.5,"16,029,409",-1,"2,943,495",4
…12월,"21,359,846",25.2,"6,359,139",18.5,"17,430,919",-1.9,"3,192,220",3.9
2016년,"17,065,772",-14.2,"5,366,738",2.9,"17,762,584",-6.2,"3,073,283",-6.5
…1월,"1,356,575",-17,"384,968",-10.5,"1,400,391",-20,"249,523",-14.1
…2월,"2,533,021",-16.4,"746,444",-9,"2,874,959",-9.9,"485,487",-13.2
…3월,"4,197,165",-13.2,"1,209,261",-6.5,"4,513,537",-4.1,"755,576",-13.1
…4월,"5,548,297",-15.4,"1,640,612",-5.9,"5,921,138",-7.5,"1,005,343",-12.9
…5월,"6,810,545",-18.4,"2,083,724",-5.7,"7,260,184",-9.2,"1,253,703",-12.1
…6월,"8,285,396",-17.2,"2,502,554",-6.3,"8,731,273",-8,"1,513,853",-11.8
…7월,"9,690,076",-15.5,"2,961,968",-4.2,"10,230,315",-8.8,"1,775,408",-11.9
…8월,"11,229,272",-14.2,"3,439,904",-2.3,"11,764,296",-8.1,"2,051,698",-9.6
…9월,"12,769,782",-14.3,"3,941,016",-0.8,"13,252,616",-7.3,"2,317,836",-8.1
…10월,"14,247,547",-14.6,"4,432,903",0.8,"14,743,478",-8.2,"2,579,356",-7.8
…11월,"15,697,184",-14.7,"4,905,977",1.8,"16,185,325",-7.9,"2,829,894",-7.5
…12월,"17,065,772",-14.2,"5,366,738",2.9,"17,762,584",-6.2,"3,073,283",-6.5
2015년,"19,887,734",7.4,"5,217,264",-4.8,"18,938,170",15.4,"3,286,461",-0.3
…1월,"1,635,256",16.7,"430,276",4.6,"1,750,279",43,"290,381",16.4
…2월,"3,030,426",11.6,"820,052",-0.1,"3,190,136",37.8,"559,287",15.9
…3월,"4,835,896",16.2,"1,293,112",1.5,"4,707,395",35.5,"869,316",18.3
…4월,"6,556,872",18.9,"1,742,978",0.1,"6,399,380",35.4,"1,153,933",15.6
…5월,"8,346,237",21.9,"2,208,870",0.8,"7,996,107",35.6,"1,425,943",14.6
…6월,"10,009,666",21.3,"2,669,566",0.2,"9,491,706",32.6,"1,716,640",14.3
…7월,"11,463,129",21.7,"3,093,057",-0.9,"11,216,145",30.6,"2,015,885",13.4
…8월,"13,083,143",21.4,"3,522,176",-1.6,"12,794,492",26.9,"2,268,545",9.9
